Ind,Target,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
2949,0,10.0,23,21,-5.5889999999999995,1,0,1,0.061,11,-5.406000000000001,30,30,12,21,0.10800000000000001,0,0,0.8,1.0,2069
2950,1,6.0,12,0,11.163,0,0,1,0.716,8,4.118,30,15,6,0,0.6729999999999999,0,0,0.8,0.0,3602
2951,0,5.0,8,0,3.208,0,0,1,0.19699999999999998,23,0.068,30,30,2,1,0.272,0,0,0.8,0.0,1202
2952,0,0.0,23,24,-7.4079999999999995,1,0,0,0.19699999999999998,24,-7.51,28,30,8,27,0.153,0,1,0.857,0.889,33
2953,0,15.0,23,24,-15.668,0,0,1,0.6709999999999999,16,-18.405,26,30,17,29,0.836,1,0,0.115,0.828,0
2954,0,0.0,23,22,-19.87,0,0,0,0.273,24,-24.24,25,30,36,26,0.319,0,0,0.7839789159724365,0.846,35
2955,1,4.0,9,0,0.52,0,0,1,0.348,14,0.7120000000000001,30,12,5,0,0.5760000000000001,0,0,0.8,0.0,1431
2956,0,0.0,1,0,2.075,1,0,0,0.55,24,6.985,30,5,3,0,0.386,0,0,0.8,0.0,989
2957,1,12.0,22,0,12.095,0,0,2,0.42100000000000004,2,3.016,30,25,11,1,0.748,0,0,0.8,0.0,214
2958,0,3.0,23,0,4.1610000000000005,1,0,1,0.052000000000000005,6,3.237,30,30,11,3,0.135,0,0,0.8,0.0,4839
2959,0,39.0,23,24,-0.5,1,0,2,0.293,1,-12.552999999999999,30,27,22,26,0.405,0,0,0.8,0.9229999999999999,196
2960,1,5.0,23,15,-4.684,0,0,1,0.35,9,-5.073,28,29,9,17,0.607,0,0,0.857,0.765,47
2961,0,55.0,23,24,-17.919,1,0,3,0.121,5,-20.004,30,28,12,28,0.17300000000000001,0,0,0.8,0.857,1451
2962,1,15.0,21,0,8.012,0,0,1,0.364,18,11.98,30,29,6,0,0.6,0,0,0.8,0.0,456
2963,1,0.0,13,0,0.623,0,0,0,0.628,24,1.338,30,17,1,0,0.637,0,1,0.8,0.0,1068
2964,0,20.0,23,21,-11.54,0,0,1,0.254,22,-10.868,29,30,17,27,0.679,0,0,0.828,0.778,56
2965,0,20.0,23,24,-11.864,1,0,1,0.11199999999999999,17,-23.643,30,29,32,28,0.256,0,0,0.8,1.0235964376053963,1398
2966,0,0.0,23,0,34.803000000000004,1,0,0,0.141,24,6.462999999999999,30,30,30,0,0.242,0,16,0.8,0.0,2110
2967,1,0.0,4,0,2.676,0,0,0,0.934,24,16.462,30,5,5,0,0.799,1,6,0.8,0.0,242
2968,1,22.65,23,24,-2.676,1,0,3,0.633,4,-18.807000000000002,30,30,16,30,0.797,0,0,0.8,0.8,71
2969,0,20.0,22,0,7.5120000000000005,1,0,2,0.53,11,9.495,30,29,15,5,0.39399999999999996,0,0,0.8,0.0,1408
2970,0,80.0,22,17,67.851,1,0,1,0.096,7,-47.422,30,30,58,19,0.155,0,0,0.8,0.895,861
2971,0,20.0,23,24,-4.376,1,0,2,0.057999999999999996,8,-2.122,30,29,11,20,0.204,0,0,0.8,1.2,2404
2972,0,5.0,19,2,0.767,1,0,1,0.126,12,-0.35700000000000004,30,26,4,2,0.255,0,0,0.8,1.0,1437
2973,0,0.0,16,0,23.176,1,0,0,0.205,24,-2.517,30,26,8,13,0.222,0,9,0.8,0.0,75
2974,0,8.0,23,5,1.464,1,0,2,0.226,12,-0.354,30,30,4,8,0.341,0,0,0.8,0.625,1247
2975,0,0.0,10,0,4.43,1,0,0,0.13699999999999998,24,4.343,30,26,14,3,0.14800000000000002,0,4,0.8,0.0,162
2976,1,7.0,23,0,4.721,0,0,3,0.27,5,1.158,30,22,4,1,0.647,0,0,0.8,0.0,445
2977,1,4.0,6,0,1.3359999999999999,0,0,2,0.7659999999999999,6,0.10099999999999999,30,8,2,2,0.6579999999999999,0,0,0.8,0.0,1499
2978,0,13.0,23,9,-4.769,0,0,2,0.335,15,-15.725999999999999,28,30,17,24,0.359,0,0,0.857,0.375,25
2979,1,3.0,23,1,1.25,0,0,1,0.237,13,0.335,30,30,3,0,0.5539999999999999,0,0,0.8,1.0235964376053963,1186
2980,0,4.0,23,13,-12.811,0,0,1,0.6759999999999999,4,-27.105999999999998,22,29,29,22,0.379,0,0,1.091,0.591,27
2981,1,9.24,18,28,-10.73,1,0,2,0.67,4,-4.606,28,24,5,27,0.7040000000000001,0,0,0.607,0.889,4
2982,0,30.0,23,11,-10.614,0,0,1,0.171,22,-10.648,30,30,27,16,0.087,1,0,0.8,0.688,373
2983,1,15.79,22,1,5.428999999999999,1,0,2,0.264,4,0.11,30,27,7,5,0.5660000000000001,0,0,0.8,0.2,975
2984,0,10.0,23,14,-1.3719999999999999,1,0,2,0.042,11,-10.299000000000001,30,30,7,22,0.09,0,0,0.8,1.0235964376053963,1035
2985,0,55.28,21,24,-25.250999999999998,1,0,1,0.924,21,-50.95399999999999,20,21,50,30,0.865,1,0,1.1,0.8,22
2986,1,15.0,23,19,-1.2790000000000001,0,0,3,0.349,5,-0.9390000000000001,30,24,5,4,0.625,0,0,0.633,4.75,5
2987,1,10.0,17,1,8.401,1,0,1,0.306,5,-4.6160000000000005,30,23,9,21,0.428,0,0,0.8,0.048,1556
2988,0,5.0,14,1,2.053,0,0,1,0.263,19,2.438,29,28,3,2,0.309,0,0,0.828,1.0235964376053963,110
2989,0,4.0,23,24,-3.272,1,0,1,0.187,8,-8.202,30,30,9,30,0.32299999999999995,0,0,0.8,0.8,36
2990,1,0.0,18,1,-0.12,0,0,0,0.774,24,-3.657,14,17,9,26,0.77,0,0,1.714,0.038,45
2991,1,5.37,23,24,-4.562,1,0,1,0.42700000000000005,12,-5.718999999999999,30,30,4,30,0.69,0,0,0.7839789159724365,0.8,138
2992,1,5.0,5,0,8.726,0,0,1,0.708,7,3.88,30,5,7,0,0.626,0,0,0.8,0.0,1495
2993,1,15.53,23,27,-6.997000000000001,0,0,3,0.369,9,6.416,30,30,4,0,0.7020000000000001,0,0,0.767,23.0,11
2994,1,44.0,21,19,-4.376,0,0,2,0.43,5,-7.9110000000000005,27,26,11,21,0.597,0,0,0.741,0.905,5
2995,0,5.0,23,0,4.87,1,0,1,0.12300000000000001,6,2.314,30,30,4,1,0.235,0,0,0.8,0.0,2646
2996,0,0.0,8,24,-32.641999999999996,0,0,0,0.595,24,-19.615,21,30,11,27,0.6629999999999999,0,11,0.0,1.0235964376053963,0
2997,0,5.0,12,0,4.031000000000001,1,0,1,0.384,11,3.0439999999999996,30,14,5,0,0.40700000000000003,0,0,0.8,0.0,1901
2998,0,0.0,23,24,-95.28299999999999,1,0,0,0.087,24,-109.86,30,30,80,30,0.111,0,0,0.8,0.8,322
2999,0,2.0,23,24,-50.571000000000005,1,0,1,0.094,21,-47.996,29,30,40,30,0.265,0,0,0.759,0.8,0
3000,0,36.0,23,23,-28.738000000000003,0,0,2,0.312,13,-18.323,27,30,19,26,0.387,0,0,0.593,0.885,0
3001,0,15.0,23,20,-0.0,1,0,1,0.114,5,-7.507999999999999,30,25,16,20,0.115,0,0,0.633,1.0,5
3002,0,23.75,22,23,3.17,1,0,1,0.162,1,-8.314,30,29,13,24,0.267,1,0,0.8,0.958,387
3003,0,0.0,0,24,-10.796,0,0,0,0.9359999999999999,24,-2.211,29,8,10,25,0.8490000000000001,1,9,0.0,0.96,0
3004,0,13.0,20,24,-6.497999999999999,1,0,2,0.405,7,-8.797,30,28,8,29,0.547,0,0,0.767,0.828,7
3005,0,16.0,23,24,-11.777000000000001,1,0,1,0.106,4,-26.694000000000003,30,30,23,30,0.24100000000000002,0,0,0.8,0.8,416
3006,0,3.0,23,1,1.889,1,0,1,0.151,7,1.571,30,29,3,3,0.27399999999999997,0,0,0.8,0.33299999999999996,1205
3007,0,54.99,23,24,-35.58,1,0,1,0.08900000000000001,14,-21.855999999999998,30,30,19,30,0.166,0,0,0.8,0.8,254
3008,0,20.0,23,21,-0.831,0,0,1,0.315,5,-17.694000000000003,30,28,20,22,0.319,0,0,0.8,0.955,360
3009,0,0.0,23,24,-24.165,0,0,0,0.728,24,-20.398,13,30,22,28,0.778,0,11,1.692,0.857,0
3010,0,20.0,23,13,-3.4560000000000004,1,0,1,0.146,18,-18.563,30,30,16,27,0.332,0,0,0.8,0.48100000000000004,169
3011,0,47.91,23,24,-44.566,1,0,1,0.222,21,-48.551,30,30,48,30,0.375,0,0,0.8,1.0235964376053963,1767
3012,1,5.0,21,0,5.343999999999999,1,0,1,0.2,4,0.539,30,25,5,0,0.44299999999999995,0,0,0.8,0.0,544
3013,0,21.6,23,24,-14.755999999999998,1,0,2,0.32299999999999995,11,-22.491999999999997,30,29,17,29,0.635,0,0,0.8,0.828,247
3014,1,5.0,20,2,-0.902,0,0,1,0.604,4,0.386,29,16,3,3,0.612,0,0,0.828,0.667,84
3015,1,0.0,22,28,-32.353,0,0,0,0.682,24,-11.177,25,30,26,24,0.8220000000000001,0,6,0.4,1.0,0
3016,0,0.0,11,0,4.34,1,0,0,0.282,24,2.083,30,9,10,4,0.308,0,0,0.8,0.0,1232
3017,0,0.0,20,11,-3.635,0,0,0,0.06,24,-2.13,30,30,13,11,0.109,0,6,0.8,1.0,289
3018,1,2.69,10,15,-0.9,0,0,1,0.767,12,0.556,20,8,6,17,0.7140000000000001,0,0,1.2,1.0235964376053963,56
3019,1,39.0,22,12,3.3539999999999996,0,0,3,0.369,2,-7.901,30,27,12,15,0.672,0,0,0.8,0.8,437
3020,0,15.0,23,0,9.783999999999999,1,0,3,0.051,6,2.727,30,30,4,0,0.10099999999999999,0,0,0.8,0.0,1551
3021,0,55.0,18,23,4.374,1,0,1,0.24,1,-32.662,30,27,30,26,0.309,0,0,0.8,1.0235964376053963,1924
3022,0,7.7,23,4,2.6060000000000003,0,0,3,0.1,5,-0.258,30,28,4,5,0.183,0,0,0.8,0.8,1543
3023,0,10.0,23,13,-4.208,1,0,1,0.04,21,-4.754,30,29,10,15,0.233,0,0,0.8,0.867,1411
3024,0,21.83,23,24,-18.309,1,0,1,0.047,8,-26.228,30,30,23,30,0.047,0,0,0.8,1.0235964376053963,1571
3025,1,20.0,23,1,4.2780000000000005,0,0,3,0.326,3,0.013000000000000001,30,30,5,1,0.616,0,0,0.8,1.0,79
3026,0,11.12,23,22,-7.294,0,0,1,0.633,14,-9.501,20,26,11,27,0.6509999999999999,0,0,0.95,0.815,14
3027,1,10.04,21,22,-0.092,0,0,1,0.634,3,-2.221,26,29,4,17,0.743,0,0,0.769,1.294,3
3028,0,5.0,23,3,1.272,1,0,1,0.077,19,0.106,30,30,4,2,0.223,0,0,0.8,1.5,1503
3029,0,26.45,15,24,-5.452000000000001,1,0,1,0.36700000000000005,14,-14.012,30,23,13,30,0.419,0,0,0.8,0.8,40
3030,0,0.0,23,24,-138.0,1,0,0,0.33,24,-64.83800000000001,29,30,57,30,0.319,0,5,0.828,0.8,69
3031,1,33.0,14,9,-0.61,0,0,1,0.7170000000000001,22,0.64,30,13,33,3,0.7609999999999999,0,0,0.8,3.0,309
3032,1,5.0,21,0,6.653,0,0,1,0.255,7,5.614,30,28,3,0,0.7070000000000001,0,0,0.8,0.0,612
3033,0,10.0,22,24,-7.78,1,0,1,0.299,9,-9.913,28,30,10,30,0.21,0,0,0.821,0.8,9
3034,0,20.0,23,24,-5.659,1,0,1,0.07,4,-21.018,30,28,21,26,0.12300000000000001,0,0,0.8,0.9229999999999999,772
