Ind,Target,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1,1,3.0,12,3,1.143,0,0,1,0.23600000000000002,12,-1.854,30,23,4,12,0.44799999999999995,0,0,0.8,0.25,429
2,1,7.0,12,10,1.949,1,0,1,0.63,15,-1.645,29,10,7,16,0.6,0,0,0.828,0.562,39
3,0,20.0,23,16,-13.124,0,0,1,0.271,21,-8.482999999999999,18,30,21,25,0.21899999999999997,0,0,1.3330000000000002,0.64,57
4,0,0.0,22,14,-16.258,0,0,0,0.406,24,1.335,30,26,21,3,0.573,0,0,0.7839789159724365,4.667,787
5,0,109.56,23,24,-26.02,1,0,1,0.063,1,-112.806,30,30,69,30,0.075,0,0,0.8,0.8,165
6,0,54.89,23,24,-36.397,1,0,2,0.068,4,-15.515,30,30,72,27,0.083,0,0,0.8,0.889,116
7,0,8.0,23,20,0.825,0,0,1,0.09,4,-0.6509999999999999,30,27,6,9,0.17600000000000002,0,0,0.8,2.222,357
8,1,0.0,23,24,-3.475,0,0,0,0.41200000000000003,24,-0.382,26,25,5,12,0.682,1,13,0.769,2.0,0
9,0,10.0,12,3,4.43,1,0,1,0.223,15,5.505,30,21,3,0,0.254,1,0,0.8,3.0,564
10,0,0.0,9,0,4.587,1,0,0,0.23600000000000002,24,9.397,30,16,15,0,0.295,1,0,0.8,0.0,959
11,0,3.0,23,0,10.24,0,0,1,0.129,14,7.108,30,30,3,0,0.35700000000000004,0,0,0.8,0.0,3679
12,0,10.05,23,0,2.8960000000000004,0,0,3,0.172,1,1.1909999999999998,30,29,2,1,0.262,0,0,0.8,0.0,1493
13,0,10.0,23,24,-13.748,0,0,1,0.408,2,-15.285,28,30,11,23,0.728,0,0,0.7859999999999999,1.043,0
14,0,13.0,20,3,0.995,0,0,5,0.331,4,-0.525,27,25,1,8,0.384,0,0,0.815,0.375,15
15,0,8.0,16,24,-1.3330000000000002,1,0,1,0.201,12,-4.497,30,26,6,26,0.33799999999999997,0,0,0.8,0.769,1288
16,0,4.0,22,0,4.5360000000000005,1,0,1,0.187,8,2.089,30,27,4,0,0.366,0,0,0.8,0.0,1363
17,1,0.0,9,28,-31.4,0,0,0,0.762,24,-10.456,23,30,18,28,0.6409999999999999,1,5,0.0,0.857,0
18,0,4.0,23,0,5.66,1,0,1,0.13,20,4.357,30,30,5,0,0.364,0,0,0.8,0.0,892
19,1,65.0,15,24,-3.3169999999999997,1,0,2,0.423,1,-47.909,28,30,30,30,0.698,0,0,0.536,0.8,14
20,1,0.0,23,3,-1.442,1,0,0,0.21,24,-7.8389999999999995,30,30,20,16,0.568,0,0,0.8,0.188,306
21,0,0.0,0,24,-30.656,1,0,0,0.951,24,-13.333,27,26,11,22,0.8370000000000001,1,23,0.0,1.091,0
22,0,10.0,23,15,1.1320000000000001,0,0,1,0.24,3,-18.195,30,22,11,30,0.312,0,0,0.8,0.5,25
23,0,0.0,13,5,-1.954,1,0,0,0.268,24,-4.444,30,21,8,17,0.281,0,17,0.8,0.294,1533
24,0,10.0,21,12,5.318,1,0,1,0.141,3,2.9360000000000004,30,24,5,0,0.28600000000000003,0,0,0.8,12.0,1397
25,0,62.0,22,21,-3.535,1,0,2,0.259,8,-6.281000000000001,30,29,30,22,0.32299999999999995,0,0,0.8,0.955,233
26,0,10.0,22,16,0.812,0,0,1,0.243,8,-2.912,30,21,5,19,0.40399999999999997,0,0,0.8,0.8420000000000001,3657
27,1,10.42,23,17,0.773,0,0,1,0.26,7,-1.6,30,30,7,7,0.629,0,0,0.7,2.4290000000000003,7
28,0,8.0,23,0,5.642,1,0,2,0.11599999999999999,8,5.202000000000001,30,30,6,0,0.27899999999999997,0,0,0.8,0.0,1606
29,1,0.0,19,14,-4.18,0,0,0,0.431,24,-5.457999999999999,29,27,10,23,0.795,0,0,0.828,0.609,27
30,1,5.0,19,16,-3.57,1,0,1,0.37200000000000005,22,5.169,30,20,12,6,0.57,1,0,0.8,2.667,107
31,0,0.0,22,6,-2.3480000000000003,1,0,0,0.182,24,19.575,30,29,50,0,0.27399999999999997,1,12,0.8,6.0,2281
32,1,20.0,13,5,15.627,0,0,1,0.677,4,0.245,30,16,13,9,0.679,0,0,0.8,0.556,168
33,1,15.0,12,19,2.6489999999999996,1,0,2,0.413,5,-9.293,28,24,8,30,0.653,0,0,0.679,0.633,5
34,0,10.79,23,24,-7.654,1,0,1,0.07,12,-14.373,30,29,10,30,0.131,0,0,0.8,0.8,5649
35,1,55.6,15,11,-1.016,0,0,5,0.889,4,-2.2319999999999998,16,20,6,14,0.8190000000000001,0,0,0.812,0.7859999999999999,0
36,0,12.0,23,3,7.257999999999999,0,0,1,0.19899999999999998,11,4.42,30,30,10,0,0.31,0,0,0.8,3.0,290
37,0,0.0,23,6,-12.640999999999998,1,0,0,0.121,24,-41.776,30,30,46,22,0.179,0,2,0.8,1.0235964376053963,165
38,1,3.5,7,28,-3.985,1,0,1,0.857,6,-4.887,22,8,3,30,0.693,0,0,1.0,0.8,6
39,0,2.07,17,18,-2.64,0,0,1,0.06,21,-1.422,30,28,2,13,0.193,0,0,0.8,1.385,3177
40,0,40.0,21,14,15.895,1,0,2,0.047,5,-10.517999999999999,30,30,10,19,0.07400000000000001,0,0,0.8,0.737,2103
41,0,20.0,22,19,-4.016,0,0,2,0.184,9,-3.9339999999999997,30,30,6,13,0.384,0,0,0.8,1.462,1262
42,0,14.96,19,24,-7.6,1,0,1,0.21,14,-12.001,30,28,11,30,0.374,0,0,0.8,0.8,225
43,0,0.0,23,23,-2.728,0,0,0,0.2,24,-31.139,20,30,0,26,0.342,1,24,0.9,0.885,5
44,0,0.0,23,20,-6.706,0,0,0,0.10400000000000001,24,-15.23,30,30,16,21,0.102,0,6,0.8,1.0235964376053963,231
45,0,35.0,23,17,-23.971,0,0,1,0.665,21,-7.3420000000000005,27,30,24,19,0.7929999999999999,0,0,0.7040000000000001,0.895,0
46,0,9.0,23,0,5.404,1,0,2,0.048,4,-0.14400000000000002,30,30,3,2,0.114,0,0,0.8,0.0,1543
47,0,0.0,22,0,52.5,0,0,0,0.16899999999999998,24,94.381,30,26,20,0,0.159,1,0,0.8,0.0,384
48,0,40.0,23,0,49.606,0,0,1,0.049,4,9.995,30,30,40,0,0.071,0,0,0.8,0.0,3822
49,0,20.0,13,24,-6.832000000000001,1,0,1,0.6559999999999999,4,-12.125,26,18,13,24,0.732,0,0,0.6920000000000001,1.0235964376053963,4
50,0,15.0,23,24,-2.543,1,0,1,0.349,4,-19.285999999999998,24,29,8,30,0.309,0,0,0.875,0.8,4
51,0,20.0,22,24,-177.71400000000003,1,0,1,0.13,1,-88.441,30,30,72,30,0.13,0,0,0.8,0.8,190
52,0,16.76,23,24,-11.9,1,0,1,0.693,4,-14.075,18,20,12,28,0.401,0,0,1.3330000000000002,0.857,63
53,0,50.0,23,24,-9.48,1,0,1,0.154,10,-50.466,30,27,40,30,0.21899999999999997,0,0,0.8,0.8,130
54,0,16.09,23,24,-11.523,1,0,1,0.34600000000000003,10,-22.458000000000002,30,30,16,30,0.58,0,0,0.8,0.8,105
55,1,0.0,13,0,1.844,0,0,0,0.348,24,0.619,30,19,5,1,0.65,0,3,0.8,1.0235964376053963,973
56,0,1.0,18,1,-0.067,0,0,1,0.111,16,1.271,30,29,4,0,0.17300000000000001,0,0,0.8,1.0235964376053963,1904
57,0,10.0,20,22,-7.76,0,0,1,0.736,21,-7.733,20,29,5,24,0.763,0,0,1.0,0.792,0
58,1,28.0,6,18,2.738,0,0,3,0.9279999999999999,6,-24.498,17,25,9,30,0.7966418604651166,1,0,0.41200000000000003,0.6,6
59,0,45.0,23,24,-39.861999999999995,1,0,2,0.84,1,-78.42399999999999,22,25,52,30,0.637,0,0,1.091,0.8,26
60,0,8.0,21,24,-4.88,1,0,1,0.389,13,-4.071000000000001,29,23,5,28,0.5670000000000001,0,0,0.828,0.857,71
61,1,0.0,7,0,4.62,0,0,0,0.833,24,5.0,30,9,0,0,0.684,1,24,0.8,0.0,325
62,1,7.0,15,20,0.306,0,0,1,0.768,6,0.318,23,22,4,8,0.852,0,0,0.7829999999999999,2.125,6
63,0,5.0,23,6,-1.5519999999999998,1,0,1,0.037000000000000005,18,-1.0170000000000001,30,30,6,11,0.073,0,0,0.8,0.545,5089
64,1,5.0,5,19,-0.078,1,0,1,0.7340000000000001,6,-2.244,30,19,3,24,0.613,0,0,0.6,0.792,6
65,1,60.0,10,0,6.858,0,0,1,0.612,15,3.0989999999999998,30,14,60,0,0.7190000000000001,0,0,0.8,0.0,269
66,0,26.88,23,22,-5.595,0,0,1,0.07200000000000001,13,-19.522000000000002,28,29,23,26,0.099,1,0,0.536,1.0235964376053963,13
67,1,10.0,10,19,3.3369999999999997,1,0,1,0.736,5,-8.892999999999999,19,9,8,28,0.755,0,0,1.263,0.679,35
68,0,12.0,23,0,6.058,1,0,2,0.12300000000000001,3,1.554,30,30,5,1,0.32899999999999996,0,0,0.8,0.0,2777
69,0,10.0,23,24,-12.904000000000002,1,0,1,0.124,12,-33.949,30,30,23,30,0.18,0,0,0.8,0.8,164
70,0,17.0,23,11,0.067,1,0,2,0.079,13,-0.205,30,27,16,14,0.114,0,0,0.8,0.7859999999999999,289
71,0,13.0,23,0,4.888999999999999,0,0,4,0.094,8,1.195,30,30,2,0,0.212,0,0,0.8,0.0,2132
72,0,10.0,22,0,9.584,0,0,1,0.24,2,-0.316,30,29,15,4,0.371,0,0,0.8,0.0,2081
73,0,5.0,15,0,6.818,1,0,1,0.166,8,2.352,30,18,4,0,0.35200000000000004,0,0,0.8,0.0,1669
74,0,24.07,23,24,-19.319000000000003,1,0,1,0.061,7,-30.788,30,30,23,30,0.159,0,0,0.8,0.8,196
75,0,10.0,23,0,5.564,0,0,1,0.071,20,3.362,30,30,10,0,0.17300000000000001,0,0,0.8,0.0,2224
76,1,3.0,2,2,1.442,0,0,1,0.848,11,-0.28,30,4,4,10,0.624,0,0,0.8,0.2,91
77,1,20.0,20,20,0.079,0,0,1,0.24100000000000002,4,-5.945,30,23,30,16,0.597,1,0,0.8,1.25,161
78,0,0.0,23,24,-36.599000000000004,1,0,0,0.045,24,-36.48,30,30,20,30,0.094,0,0,0.8,0.8,99
79,1,10.0,17,10,1.0959999999999999,0,0,1,0.331,14,-3.812,30,29,10,22,0.575,1,0,0.8,0.455,182
80,1,10.0,14,10,5.944,0,0,1,0.42200000000000004,9,3.5460000000000003,30,26,6,0,0.652,0,0,0.8,10.0,168
81,0,15.0,23,2,6.183,1,0,2,0.10400000000000001,10,0.6509999999999999,30,30,5,2,0.204,0,0,0.8,1.0,1940
82,1,5.0,23,0,4.372,1,0,1,0.273,7,1.242,30,30,5,0,0.624,0,0,0.8,0.0,969
83,0,20.0,23,0,9.395,1,0,2,0.142,2,2.035,30,28,10,2,0.262,0,0,0.8,0.0,1565
84,1,5.0,15,0,5.399,0,0,1,0.564,8,2.366,29,24,13,10,0.742,0,0,0.828,0.0,71
85,0,3.07,23,24,-77.705,1,0,1,0.083,1,-44.575,30,30,63,26,0.128,0,0,0.8,0.9229999999999999,178
86,1,26.16,23,22,-3.208,0,0,1,0.373,9,-16.887999999999998,30,27,15,27,0.627,1,0,0.5329999999999999,0.815,9
87,0,0.0,23,20,-6.325,1,0,0,0.32799999999999996,24,-7.797999999999999,28,28,9,27,0.295,0,5,0.857,0.741,42
88,0,15.0,23,0,3.986,1,0,2,0.12300000000000001,14,0.976,30,30,7,0,0.221,0,0,0.8,0.0,1629
89,0,0.0,22,0,4.864,1,0,0,0.14300000000000002,24,5.8629999999999995,30,27,7,0,0.245,0,1,0.8,0.0,1088
90,1,15.0,23,0,16.492,0,0,1,0.42200000000000004,4,-2.983,27,27,15,12,0.7120000000000001,0,0,0.889,0.0,93
91,1,10.0,9,10,2.332,1,0,1,0.708,15,-3.4560000000000004,30,21,10,17,0.698,1,0,0.8,0.529,757
92,1,20.0,23,6,-2.9810000000000003,1,0,1,0.27,23,0.201,30,30,22,7,0.611,1,0,0.8,0.857,1404
93,1,5.0,5,1,2.719,1,0,1,0.418,23,0.514,30,29,3,1,0.718,0,0,0.133,1.0,0
94,0,0.0,22,5,-2.4659999999999997,1,0,0,0.10400000000000001,24,-1.756,30,29,26,9,0.136,0,0,0.8,0.556,640
95,1,20.0,23,21,2.583,1,0,2,0.348,1,-10.357000000000001,30,30,9,30,0.624,0,0,0.8,0.7,203
96,0,15.0,23,24,-3.159,1,0,2,0.062,8,-10.25,30,30,8,30,0.17,0,0,0.8,0.8,1596
97,0,53.91,23,23,-15.011,1,0,4,0.575,5,-68.546,25,28,15,29,0.618,0,0,0.96,0.7929999999999999,26
98,0,20.0,20,17,-10.535,0,0,1,0.426,22,-12.745,28,24,27,19,0.325,0,0,0.857,0.895,89
99,1,8.5,23,0,4.867,0,0,3,0.679,4,0.336,30,30,7,0,0.738,0,0,0.8,0.0,1286
100,0,20.0,23,24,-28.983,1,0,1,0.368,8,-8.949,30,29,16,21,0.34600000000000003,1,0,0.733,1.143,8
101,1,10.0,16,0,12.923,0,0,2,0.35600000000000004,1,-0.065,30,20,8,11,0.41600000000000004,0,0,0.8,0.0,152
102,1,5.0,18,0,13.35,0,0,1,0.34700000000000003,5,7.351,30,22,5,0,0.568,0,0,0.8,0.0,131
103,0,0.0,11,0,16.183,1,0,0,0.369,24,14.359000000000002,30,16,7,0,0.299,0,0,0.8,0.0,1624
104,0,23.0,23,24,-14.512,1,0,1,0.155,13,-21.075,30,30,20,30,0.38299999999999995,0,0,0.8,0.8,1781
105,0,12.0,23,3,8.955,0,0,2,0.098,1,1.465,30,30,5,1,0.19466829268292682,0,0,0.8,3.0,1727
106,1,5.0,11,0,4.708,0,0,1,0.664,19,0.996,30,22,3,3,0.6579999999999999,0,0,0.8,0.0,332
107,1,0.0,0,24,-3.2289999999999996,1,0,0,0.8540000000000001,24,-0.818,30,4,5,11,0.623,1,0,0.36700000000000005,2.182,0
108,0,28.5,23,17,10.35,1,0,1,0.06,7,-15.998,30,30,14,30,0.128,0,0,0.8,0.5670000000000001,709
109,1,9.6,1,20,0.879,0,0,1,0.9279999999999999,7,-3.4160000000000004,10,2,10,25,0.8859999999999999,1,0,0.8,1.0235964376053963,7
110,1,40.0,12,15,7.426,0,0,1,0.866,9,-20.81,26,18,18,28,0.867,1,0,0.7839789159724365,0.536,0
111,1,8.0,2,1,3.0380000000000003,1,0,2,0.9259999999999999,1,3.955,30,4,3,2,0.7490000000000001,1,0,0.8,0.5,185
112,1,0.0,19,0,1.412,1,0,0,0.317,24,1.347,30,24,5,4,0.62,0,10,0.7839789159724365,0.0,1684
113,1,15.0,23,8,7.5729999999999995,1,0,1,0.337,13,-3.85,30,30,19,10,0.5820000000000001,0,0,0.8,0.8,133
114,1,0.0,21,28,-10.748,0,0,0,0.179,24,-5.167000000000001,30,26,11,15,0.242,0,0,0.633,1.6,0
115,1,7.32,22,28,-21.818,1,0,1,0.41100000000000003,22,-6.79,30,29,9,26,0.624,0,0,0.8,0.9229999999999999,232
116,0,0.59,22,0,0.168,0,0,1,0.055,19,-1.635,30,28,7,10,0.20199999999999999,0,0,0.8,1.0235964376053963,396
117,0,14.0,23,0,7.886,1,0,2,0.179,9,1.5190000000000001,30,30,4,0,0.337,0,0,0.8,0.0,1704
118,0,25.0,23,20,4.814,1,0,1,0.105,3,-5.1579999999999995,30,27,15,15,0.092,0,0,0.8,1.3330000000000002,393
119,0,52.38,23,24,-113.016,1,0,2,0.134,14,-28.112,30,30,18,20,0.154,0,0,0.8,1.2,80
120,0,0.0,18,4,-67.709,1,0,0,0.368,24,-2.633,30,25,13,17,0.616,0,8,0.8,0.235,72
121,1,15.62,22,1,1.8,0,0,7,0.295,4,0.313,30,30,2,0,0.66,0,0,0.7839789159724365,1.0,24
122,0,20.0,23,6,13.288,1,0,1,0.134,8,3.2560000000000002,30,30,10,0,0.342,0,0,0.8,5.0,4519
123,0,6.5,23,0,4.515,0,0,2,0.08199999999999999,9,4.041,30,30,3,0,0.182,0,0,0.8,0.0,1433
124,0,0.0,21,0,4.303999999999999,1,0,0,0.162,24,13.427999999999999,30,22,11,0,0.32799999999999996,1,10,0.8,0.0,1209
125,0,35.52,23,24,-22.116,1,0,1,0.087,15,-33.421,30,30,40,30,0.094,0,0,0.8,1.0235964376053963,3161
126,1,1.6,14,10,-1.166,1,0,1,0.887,22,-2.508,23,18,5,25,0.7759999999999999,0,0,1.043,0.36,29
127,1,32.0,20,8,6.001,0,0,8,0.833,1,0.07200000000000001,28,30,4,3,0.8320000000000001,0,0,0.607,2.667,3
128,1,0.0,11,24,-3.7680000000000002,1,0,0,0.596,24,-0.258,30,19,10,3,0.6609999999999999,1,23,0.36700000000000005,8.0,0
129,1,0.0,14,0,2.456,0,0,0,0.301,24,1.82,30,21,1,0,0.424,0,0,0.8,0.0,1610
130,0,10.0,23,8,-0.747,0,0,1,0.062,15,-3.387,30,30,16,12,0.147,0,0,0.8,0.667,1811
131,0,10.0,20,24,-3.384,1,0,1,0.377,4,-10.794,28,28,12,28,0.284,0,0,0.857,1.0235964376053963,39
132,0,11.31,23,24,-9.933,1,0,1,0.049,13,-15.627,30,30,12,30,0.102,0,0,0.8,0.8,256
133,0,45.59,23,24,-7.787999999999999,1,0,2,0.073,7,-11.585,30,30,22,30,0.21100000000000002,0,0,0.8,0.8,452
134,1,3.0,23,0,0.9209999999999999,0,0,2,0.37799999999999995,9,0.368,30,30,2,1,0.659,0,0,0.8,0.0,147
135,0,20.0,22,10,-6.105,0,0,2,0.665,5,-6.848,29,30,12,12,0.804,0,0,0.828,0.833,64
136,1,0.0,5,28,-24.820999999999998,0,0,0,0.919,24,-6.775,11,10,23,21,0.835,0,1,0.182,1.143,0
137,1,6.37,18,24,-4.012,1,0,1,0.5920000000000001,19,-5.153,30,15,4,30,0.599,0,0,0.8,1.0235964376053963,242
138,1,0.0,23,0,3.6719999999999997,1,0,0,0.317,24,0.769,30,29,12,8,0.603,0,6,0.8,0.0,1422
139,0,5.0,11,0,3.772,1,0,1,0.308,10,2.3209999999999997,30,16,4,2,0.285,0,0,0.8,0.0,2476
140,0,19.88,23,24,-7.697,1,0,1,0.127,11,-22.776,30,30,24,30,0.192,0,0,0.8,0.8,99
141,0,0.0,23,14,-7.7620000000000005,1,0,0,0.815,24,-9.91,20,4,30,25,0.552,0,0,1.2,0.56,27
142,0,10.0,23,1,7.892,1,0,2,0.336,12,-0.11699999999999999,27,26,5,4,0.265,0,0,0.889,0.25,105
143,1,10.0,16,0,7.8660000000000005,0,0,2,0.40299999999999997,4,0.7559999999999999,30,14,7,7,0.578396584440228,0,0,0.8,0.0,132
144,0,10.0,14,12,6.761,0,0,1,0.245,4,-3.7239999999999998,30,17,7,18,0.40700000000000003,0,0,0.8,0.556,214
145,0,5.0,18,0,3.589,1,0,1,0.37200000000000005,6,1.879,30,22,5,1,0.40399999999999997,0,0,0.8,0.0,1415
146,0,0.0,14,0,1.183,1,0,0,0.135,24,0.324,30,25,3,11,0.278,0,18,0.8,0.0,1456
147,1,6.0,23,11,2.4,1,0,1,0.17300000000000001,7,-0.905,30,30,5,7,0.557,0,0,0.8,1.571,1617
148,0,33.0,23,9,6.813,0,0,1,0.063,12,-8.94,30,29,26,17,0.13699999999999998,0,0,0.8,0.529,364
149,0,0.0,23,20,-3.267,1,0,0,0.17300000000000001,24,-2.7680000000000002,28,22,7,13,0.33899999999999997,0,7,0.857,1.538,43
150,0,0.0,18,0,7.309,1,0,0,0.135,24,20.732,30,23,0,0,0.298,1,24,0.8,0.0,970
151,0,23.3,23,24,-12.74,1,0,1,0.1,12,-26.423000000000002,30,30,40,30,0.336,0,0,0.8,0.8,835
152,0,0.0,0,24,-14.345999999999998,0,0,0,0.9059999999999999,24,-7.56,22,27,5,22,0.7859999999999999,1,13,0.0,1.091,0
153,1,40.0,18,13,8.64,0,0,2,0.8440000000000001,2,-32.198,6,11,47,29,0.708,0,0,2.167,0.44799999999999995,2
154,1,12.0,20,9,3.22,1,0,2,0.36700000000000005,3,-0.226,30,24,4,5,0.59,0,0,0.8,1.8,1461
155,1,0.0,23,28,-13.169,0,0,0,0.314,24,-22.608,26,30,18,30,0.5820000000000001,0,0,0.9229999999999999,0.8,29
156,0,10.0,23,24,-12.363,0,0,1,0.637,15,-10.777000000000001,27,30,8,25,0.73,0,0,0.889,0.96,88
157,0,20.0,23,24,-18.01,1,0,1,0.158,11,-35.942,30,30,27,30,0.192,0,0,0.8,0.8,65
158,0,8.0,12,21,-1.5830000000000002,1,0,1,0.233,9,-4.995,30,19,9,21,0.192,0,0,0.733,1.0,9
159,0,37.0,22,12,-5.305,0,0,2,0.841,23,-10.73,25,26,30,24,0.845,1,0,0.96,0.5,24
160,0,10.0,22,2,1.9680000000000002,0,0,2,0.184,6,1.099,30,30,5,1,0.33399999999999996,0,0,0.8,2.0,130
161,0,35.0,23,0,26.552,1,0,3,0.198,5,25.998,30,29,15,1,0.402,0,0,0.8,0.0,3746
162,0,22.75,23,3,2.055,0,0,3,0.13699999999999998,1,-1.464,29,30,7,10,0.345,0,0,0.828,1.0235964376053963,98
163,0,20.0,23,4,5.1979999999999995,1,0,2,0.12300000000000001,11,0.5529999999999999,30,26,10,7,0.243,0,0,0.8,0.5710000000000001,2483
164,0,5.0,19,22,-8.412,1,0,1,0.65,8,-6.524,24,22,5,25,0.675,0,0,1.0,0.88,27
165,0,273.03,23,24,-251.687,1,0,1,0.828,4,-478.66,24,28,92,30,0.369,0,0,1.0,0.8,29
166,0,3.0,23,11,0.7879999999999999,1,0,1,0.32299999999999995,7,-0.653,30,30,7,8,0.387,0,0,0.8,1.375,888
167,0,18.42,23,24,-13.251,1,0,1,0.266,11,-23.166,30,26,18,30,0.364,0,0,0.8,0.8,100
168,1,10.0,23,5,5.794,1,0,2,0.22399999999999998,11,0.21899999999999997,30,28,5,8,0.436,0,0,0.8,0.625,869
169,0,83.0,22,5,7.87,1,0,5,0.24,7,0.14,30,28,11,3,0.3,0,0,0.8,1.6669999999999998,955
170,1,6.21,0,24,0.364,0,0,1,0.903,4,-4.635,30,1,6,25,0.7859999999999999,0,0,0.8,0.8,186
171,0,15.0,20,17,2.5610000000000004,1,0,1,0.174,7,-8.088,29,26,11,24,0.193,0,0,0.7240000000000001,0.708,7
172,0,10.85,22,24,-11.520999999999999,1,0,1,0.122,3,-12.389000000000001,30,27,23,28,0.188,0,0,0.8,0.857,225
173,0,13.94,23,20,-7.718,0,0,2,0.317,14,-19.695,30,26,21,22,0.327,0,0,0.8,0.909,257
174,0,2.0,22,0,1.081,1,0,1,0.141,14,0.075,30,28,1,0,0.23,0,0,0.8,0.0,3588
175,1,50.0,23,2,0.6579999999999999,0,0,3,0.669,6,-0.488,30,30,2,3,0.7140000000000001,0,0,0.767,0.667,23
176,0,9.0,23,0,9.676,0,0,1,0.21100000000000002,2,1.2009999999999998,30,30,9,0,0.355,0,0,0.8,0.0,767
177,0,20.0,23,13,-7.692,0,0,1,0.32899999999999996,13,-10.606,30,27,19,18,0.615,0,0,0.8,0.722,606
178,0,0.0,23,23,-16.448,1,0,0,0.08800000000000001,24,-18.004,30,27,13,27,0.141,0,16,0.8,0.852,1111
179,0,19.0,23,0,14.177999999999999,1,0,2,0.076,3,-8.354,30,30,11,24,0.152,0,0,0.8,0.0,1484
180,0,10.0,23,0,16.861,1,0,1,0.045,4,5.795,30,30,10,0,0.102,0,0,0.7839789159724365,0.0,1731
181,1,5.0,5,7,-2.923,0,0,2,0.746,11,-2.3409999999999997,29,28,4,11,0.8490000000000001,0,0,0.828,0.545,59
182,0,15.0,22,24,-5.114,1,0,1,0.265,10,-14.421,30,29,18,30,0.39799999999999996,0,0,0.8,0.8,72
183,0,11.0,22,21,-0.08900000000000001,1,0,2,0.054000000000000006,7,-4.132,30,28,3,25,0.156,0,0,0.8,0.72,1896
184,0,5.0,22,0,8.43,0,0,1,0.08900000000000001,7,1.985,30,29,10,4,0.27,0,0,0.8,0.0,2882
185,0,23.6,23,24,-16.68,1,0,2,0.161,12,-20.865,30,27,9,30,0.243,0,0,0.8,0.8,3786
186,0,16.37,23,24,-11.52,1,0,1,0.062,12,-38.038000000000004,30,30,30,30,0.1308198757763975,0,0,0.8,0.8,1410
187,0,6.0,21,16,2.289,1,0,1,0.14300000000000002,5,-3.227,30,27,7,13,0.26899999999999996,0,0,0.8,1.2309999999999999,1426
188,0,26.18,23,22,7.131,1,0,2,0.152,2,-14.407,30,28,12,29,0.397,0,0,0.8,0.759,2257
189,0,0.0,23,24,-12.556,0,0,0,0.354,24,-3.35,30,30,6,18,0.429,0,4,0.7839789159724365,1.3330000000000002,189
190,0,2.0,22,12,-1.401,1,0,1,0.071,22,-0.151,30,30,2,8,0.163,0,0,0.8,1.0235964376053963,1643
191,1,0.0,23,0,18.24,1,0,0,0.335,24,21.308000000000003,30,30,8,0,0.424,1,12,0.8,0.0,1547
192,0,15.0,23,24,-7.494,1,0,1,0.33899999999999997,12,-7.166,30,30,6,27,0.68,0,0,0.8,0.889,578
193,1,1.0,23,0,3.3369999999999997,0,0,1,0.379,7,2.647,30,26,4,0,0.642,0,0,0.8,0.0,245
194,0,0.0,23,24,-15.106,1,0,0,0.26899999999999996,24,-21.088,30,29,12,30,0.324,1,10,0.8,0.8,1970
195,0,32.15,23,23,-3.725,0,0,3,0.18,4,-26.124000000000002,19,27,17,26,0.207,0,0,0.684,0.885,4
196,0,5.0,19,15,-0.304,1,0,1,0.162,12,-1.875,30,25,10,13,0.27399999999999997,1,0,0.7839789159724365,1.1540000000000001,926
197,0,20.0,23,24,-4.895,1,0,1,0.205,10,-22.936,30,30,20,30,0.331,0,0,0.8,0.8,203
198,0,51.65,22,19,0.436,0,0,2,0.13,4,-15.300999999999998,28,30,24,25,0.146,0,0,0.75,0.76,4
199,0,0.0,17,24,-59.208,1,0,0,0.231,24,-55.527,30,24,55,30,0.32799999999999996,0,6,0.733,0.8,0
200,0,2.0,20,0,2.503,0,0,1,0.225,12,0.675,30,24,2,0,0.375,0,0,0.8,0.0,3542
201,1,10.0,20,25,-8.658999999999999,0,0,1,0.59,22,-6.587000000000001,27,25,9,27,0.7040000000000001,0,0,0.667,0.778,0
202,1,10.0,21,24,-4.473,0,0,1,0.6629999999999999,7,-6.97,23,29,11,26,0.63,0,0,1.043,0.9229999999999999,86
203,0,20.0,22,19,6.587999999999999,0,0,2,0.10800000000000001,5,-11.387,30,30,13,15,0.17600000000000002,0,0,0.8,1.2670000000000001,515
204,0,53.08,23,24,-51.303999999999995,1,0,1,0.113,1,-54.931000000000004,30,28,47,30,0.17800000000000002,0,0,0.8,0.8,100
205,0,11.5,23,4,-1.798,0,0,2,0.156,12,-0.8320000000000001,30,30,21,12,0.22,0,0,0.8,0.33299999999999996,135
206,1,15.0,0,21,0.633,0,0,1,0.958,3,-11.98,8,9,14,24,0.8365736842105267,1,0,0.5,0.875,3
207,0,0.0,23,17,-13.550999999999998,1,0,0,0.282,24,-6.666,30,25,11,17,0.385,0,6,0.8,1.0,1701
208,0,0.0,0,24,-70.09899999999999,1,0,0,0.922,24,-41.416000000000004,26,27,13,30,0.789,1,7,0.0,0.8,0
209,0,23.0,23,17,2.687,0,0,2,0.10099999999999999,7,4.21,30,30,10,2,0.19466829268292682,0,0,0.8,8.5,3250
210,0,27.0,23,24,-7.062,1,0,2,0.293,4,-24.274,30,30,30,28,0.37799999999999995,0,0,0.8,0.857,65
211,0,100.0,23,24,-46.159,1,0,1,0.10800000000000001,4,-98.648,30,30,84,30,0.127,0,0,0.8,0.8,284
212,0,5.0,22,0,5.89,1,0,1,0.22,4,1.24,30,23,5,5,0.39799999999999996,0,0,0.8,1.0235964376053963,1416
